What kind of place would you like Casey to be in 2041?,If you had the power to change just one thing in the City of Casey what would it be?,What three words would you use to describe your Vision for the City of Casey?,,,What's most important to you?,Other,What is your suburb?,Postcode,Ward,What is your age?,What is your Gender
"A clean, healthy environment",The crime rate,Healthy,supportive,,Connecting and supporting people,,cranbourne east,3977,mayfield,0-18,Female
Nice clean place to be a steady society ,Crime rate,Good,steady,society,Connecting and supporting people,,cranbourne ,3977,balla balla,0-18,Male
Friendly ,Rubbish and environment,Cool,amazing,intriguing,Connecting and supporting people,,cranbourne east,3977,mayfield,0-18,Female
A nice place with not too much traffic,Better roads to cater for busy traffic,Education,facilities,roads,Creating a sense of place,,beaconsfield,3807,edrington,39-48,Female
Better public transport,More efficient council lest waste on large capital spending ,Too-big ,,,Connecting and supporting people,,cranbourne east,3977,mayfield,39-48,Male
Family friendly,Drugs,good,,,Creating a sense of place,,cranbourne ,3977,balla balla,0-18,Male
A safe and kind place,Have more playground areas,Selfless,caring,loving,Protecting our environment and improving transport,,cranbourne east,3977,mayfield,0-18,Female
More shops,No drugs,Loyal,beautiful,lovely,Connecting and supporting people,,cranbourne ,3977,balla balla,0-18,Male
A safe place,People get fair jobs,Bright,beautiful,amazing,Connecting and supporting people,,cranbourne ,3977,balla balla,0-18,Female
Enviroment,Make a bypass for trucks to avoid housing  n Sladen street,Improve-traffic,,,Connecting and supporting people,,cranbourne ,3977,balla balla,59-68,Female
More child friendly ,Perfect no change ,Clean,peaceful,nature,Attracting local business and jobs,,clyde north,,edrington,39-48,Female
Support more for people with disabilies,More sporting events,help-disadvantaged-people,,,Connecting and supporting people,,narre warren south,3804,springfield,39-48,Female
Nuclear free,Lack of police patrols to deal hoon/ratbag elements.,less-rain,,,Connecting and supporting people,,Loganholme,4219,visitor,68+,Male
"Resources in healthcare, education and house with still on a  decent size blocks. ",Access to bulk billing healthcare for children with extra needs.  ,Safe,livable,Confident,Connecting and supporting people,,narre warren,3805,springfield,29-38,Female
Easy access to everything ,Traffic congestion ,Well-developed,,,Protecting our environment and improving transport,,cranbourne east,3977,mayfield,39-48,Female
Environmentally friendly,More food places,Friendly,populated,fun,Protecting our environment and improving transport,,cranbourne east,3977,mayfield,19-28,Female
Activities for kids ,More trains ,BigW,,,Connecting and supporting people,,cranbourne ,3977,balla balla,59-68,Female
Crime free,Parking,Family-oriented,sustainable,crimefree,Protecting our environment and improving transport,,cranbourne east,3977,mayfield,39-48,Female
Things are good at the moment,Clean up Cranbourne especially streets,parks,nature,,Connecting and supporting people,,cranbourne ,3977,balla balla,59-68,Female
Keep the community ,Parking at the primary school,Fun,family-orientated,,Connecting and supporting people,,cranbourne east,3977,mayfield,29-38,Female
Ease of access other then cars.,A safe pedestrian and cycling access through the Fountain Gate Shopping Centre car park.,Pedestrians,cycling,,Connecting and supporting people,,narre warren south,3804,springfield,68+,Male
A place that still has some green paddocks and open spaces,Slow the progress of the housing developments,Green,safe,community,Connecting and supporting people,,emerald,,visitor,49-58,Female
Outdoor skateparks,Make it easier to get around on public transport,Fun,transport,wayfinding,Creating a sense of place,,pakenham,,visitor,19-28,Male
A great place to bring up families and a centre for business,Cheaper council rates,Development,excellence,community,Connecting and supporting people,,croydon north,,visitor,49-58,Male
"Outdoor pool, ",Make it more close to my school.,parks,,,Creating a sense of place,,pakenham,,visitor,0-18,Male
"Outdoor swimming pool, different ramps at the shed, ",More public transport particularly the train,Exciting,family-oriented,fun,Protecting our environment and improving transport,,pakenham,,visitor,0-18,Male
"More sporting facilities, free outdoor skate parks in more suburbs, easier public transport to facilities",Improve accessibility to public transport,Productive,sporting,community,Protecting our environment and improving transport,,endeavour hills,3802,four oaks,0-18,Male
"More facilities - more outdoor skate parks, endeavour hills skate park gets really hot. ",Transport - having more trains so I can get into the city,exciting,enjoyable,safe,Creating a sense of place,,endeavour hills,3802,four oaks,0-18,Male
"More communicative city, more of a community feel.","Public transport more of it, more frequent ",Community,transport,spacious,Protecting our environment and improving transport,,berwick,3806,edrington,0-18,Male
"Clean, bigger more skate parks and facilities. ",Make the city bigger,Fun,clean,positive,Creating a sense of place,,cranbourne ,3977,balla balla,0-18,Male
"Big community, people knowing Casey and Cranbourne North",Crime rate - reduce it,Community,safe,fun,Attracting local business and jobs,,cranbourne north,,mayfield,0-18,Male
"Get around in cars, and motorbikes, more motor bike riding, more skate parks good big outside ones. ",HaveMore sport facilities - ,Equality,safe,fun,Creating a sense of place,,berwick,3806,edrington,0-18,Male
"Car and motorbike transport, work close to home, better and more sport facilities ","Bigger roads, better transport flows and services.",Sporty,active,transport,Creating a sense of place,,narre warren,3805,springfield,0-18,Male
Place to do things and more active place.,Bigger parks and open spaces. More outdoor skate parks with improved safety.,Active,safe,fun,Creating a sense of place,,cranbourne ,3977,balla balla,0-18,Female
Bigger parks and outdoor spaces.,Better and bigger living,Bigger,smaller,fun,Protecting our environment and improving transport,,cranbourne north,,mayfield,0-18,Male
"Riding community, ",Fix the crime,Exciting ,,,Protecting our environment and improving transport,,bentleigh,,visitor,0-18,Male
"More buses to places, such as he shops, have an outdoor skate park. Having the freedom to do the activities we want for example being able to take our scooters to the shops","Improve behaviour, and safety of the people",Safe,fun,accepting,Creating a sense of place,,cranbourne ,3977,balla balla,0-18,Male
Stylish and more outdoor activities,To change the indoor and outdoor skate park,Safe,adjective,helpful,Connecting and supporting people,,cranbourne east,3977,mayfield,0-18,Male
"Better place, less crime and saftey","The amount of people doing burn outs, it's load and happens a lot.",Safe,smarter,fun,Creating a sense of place,,cranbourne ,3977,balla balla,0-18,Male
Saftey environment. Less crime and less gun violence ,More housing for the homless,Equality,safe,clean,Connecting and supporting people,,cranbourne ,3977,balla balla,0-18,Male
"Comfortable place for everyone, that everyone feels comfortable being. ",Public transport- want to see more services,Fun,safe,diverse,Connecting and supporting people,,berwick,3806,edrington,19-28,Male
Active city and pretty much the same,Put another bigger shed skate park,Active,happy,peaceful,Connecting and supporting people,,mulgrave ,,visitor,0-18,Male
Not as built up.,Less traffic.,Fun,modern,clean,Connecting and supporting people,,mulgrave ,,visitor,0-18,Male
"See it tidier, people picking up after themselves, ","Have more places to go, activities to do during the. ",Clean,fun,accepting,Creating a sense of place,,nyora ,,visitor,0-18,Male
Strong community that's constantly improving.,Make the shead bigger,Community,improve,bigger,Protecting our environment and improving transport,,carrum downs,,visitor,0-18,Male
Safe environment- the roads are confusing. Having sporting- good at the moment but still have more facilities. New skate park,Shopping centres- annoying they need to be bigger,Fun,colourful,safe,Creating a sense of place,,carrum downs,,visitor,0-18,Male
"Friendly, community focused.","Roadworks, slows the traffic.",Nice,clean,enjoyable,Creating a sense of place,,frankston ,,visitor,0-18,Male
"A more public transport focused area, with police and increased saftey.",The amount of crime in the area,Saftey,transport,community,Attracting local business and jobs,,dandenong ,,visitor,0-18,Male
Safe.,More outdoor skateparks.,Active,fun,urban,Protecting our environment and improving transport,,narre warren,3805,springfield,0-18,Male
Somewhere that promotes physical acctivity,Train stations would feel more safe,Safety,physical,friendly,Protecting our environment and improving transport,,monbulk,,visitor,0-18,Male
Safer place to live,More priority for recreation over new housing development,Safe,open-space,fun,Creating a sense of place,,berwick,3806,edrington,19-28,Male
Managing the growth and up protecting the nature.,Public shopping saftey,safe,controlled,healthier,Protecting our environment and improving transport,,cranbourne ,3977,balla balla,39-48,Female
More youth centred. Upgraded of skate facilities and places where people can do and share common interests,Upgrade Berwick skate park to make it bigger,Safe,developing,busy,Protecting our environment and improving transport,,berwick,3806,edrington,0-18,Male
"A safe for young people, offers opportunities, looking after less unfortunate.",Teaching youth the right ways thru life.,Clean,safe,innovative,Connecting and supporting people,,beaconsfield,3807,edrington,0-18,Male
"Like to see more involvement from council with councils, promote businesses that are working and connecting with youth. It is hard for youth organisations to talk and work with council- particularly new groups. Give businesses more incentives to work with community. 

Make sure you build what people want, involvement in development and design. Make it easier for the local groups to be involved with council. ",Focus attitude and encouraging positive constructive attitudes when working with community. ,Encouraging,atmosphere,community-needs,Creating a sense of place,,braybrook ,,visitor,19-28,Male
Protected and be improved,More street lighting and improving visibility.,Bigger,safer,longer,Creating a sense of place,,narre warren,3805,springfield,0-18,Male
A nice family friendly place,Fix the road infrastructure ,Family-oriented,infrastructure,community,Protecting our environment and improving transport,,rosebud,,visitor,19-28,Male
Safe,Roadworks,Amazing,clean,safe,Connecting and supporting people,,rye,,visitor,19-28,Male
"Have more stuff to do, bigger parks. Like riding pushiest and motor bikes",Traffic- widen roads,Bigger,exciting,fun,Connecting and supporting people,,rosebud,,visitor,19-28,Male
"A  council that doesn't forget that we are not all equal, but that treats us as though we are. As well as respecting and protecting our enviroment and leaving Casey better than the previous generation",The opportunity to be a city where we make our own renewal power and are self sufficient.,Inclusive,inventive,happy,Connecting and supporting people,,endeavour hills,3802,four oaks,49-58,Female
Lots of green spaces / parks plenty of resources and  activities,Better public transport between Cranbourne and pearcedale and carrum downs,Dynamic,community,friendly,Attracting local business and jobs,,cranbourne south ,3977,balla balla,49-58,Female
"Industry will be present, updated roads to accomodate growth, people able to work in area, newer modern schools, parks, racially diverse and tolerant. A place that people will be proud to live, good community spirit","It's got a bad reputation in what people perceive city of cases to be, improve reputation",Modern,friendly,diverse,Connecting and supporting people,,cranbourne west,3977,mayfield,49-58,Male
"Modern, good infrastructure, good transport, education, modern education with up to date technology","Roads, roads before estates",Modern,liveable,friendly,Attracting local business and jobs,,narre warren south,3804,springfield,39-48,Female
"Better facilities at sporting grounds, bad wind problems, more shelter needed. Roads will be bad when estates open up, particularly Berwick Clyde rd, we need better public transport. Buses in particular. ","we run our business, and new buildings are being built without sufficient parking for clients. In the next 5 years it will be really bad, particularly victor crescent.  ",Safe,community,happy,Connecting and supporting people,,narre warren south,3804,springfield,39-48,Female
"More environmentally stable, more attractive to the eye, more transport, sustainable, environmentally friendly",More transport,Carefree,sustainable,Environment,Attracting local business and jobs,,hampton park,3976,river gum,19-28,Female
Strong community with strong job and sporting facilities ,Roads,Community,,,Attracting local business and jobs,,cranbourne ,3977,balla balla,49-58,Male
Community based jobs,Roads,community,,,Attracting local business and jobs,,cranbourne ,3977,balla balla,49-58,Male
"Safe, lighting walking to the school or on public transport alone for my daughter. Keep all activities, good range. Hampton park needs improving, more toilets are needed.","Roads, pot holes . Ormond road. Too many trucks on roads making pot holes. ",Growth,active,clean,Connecting and supporting people,,hampton park,3976,river gum,49-58,Female
"More money spent in Cranbourne, more roads, public transport, we will have the things we were promised, council maintaining their duty of care to all areas equally",Car parking more every where,Community,helpful,friendly,Attracting local business and jobs,,cranbourne south ,3977,balla balla,49-58,Male
"Places for kids, enclosed dog park, will have railway line to cases feilds",Dog parks will be here,Family-oriented,police,kids-space,Protecting our environment and improving transport,,cranbourne ,3977,balla balla,49-58,Female
"More infrastructure, improved roads",Better roads,Family-oriented,new-growth,sport-facilites,Attracting local business and jobs,,clyde north,,edrington,39-48,Male
"Wind breaks and shelter at sporting grounds. New Hampton park netball court. Beautify Webb street, it looks a bit dodgy , run down. The crossing in front of Iga at Webb st is dangerous. ",Remove roundabout at Thompson rd and Narre Cranbourne and put lights in to improve traffic. More lanes on freeway. ,Sport,family-oriented,healthy,Protecting our environment and improving transport,,hampton park,3976,river gum,49-58,Female
"More facilities for kids, more sporting facilites, job opportunites",More public transport options for kids,Safe,happy,clean,Attracting local business and jobs,,pakenham,,visitor,49-58,Male
"Still want lots of park, greenery, up to date sporting facilities. Less wind.  Better roads, too congested, road widening.","Roadways, maintained pot holes, and congestion. ",Liveable,culture,recreation,Protecting our environment and improving transport,,narre warren,3805,springfield,39-48,Male
Nice,More tennis courts,Sport,crowed,fun,,Sport,cranbourne ,3977,balla balla,0-18,Male
More sporting facilities,More scarier rides at Casey race,Sport,crowded,cool,Protecting our environment and improving transport,,cranbourne ,3977,balla balla,0-18,Male
"Safe for families, affluent. Safe for families, safety at home and on the streets. ","Cultural amenities of Casey, we need more arts . ",Diverse,inclusive,vibrant,Attracting local business and jobs,,narre warren south,3804,springfield,49-58,Male
Fun sense of community,Job opportunities,Great-place,,,Connecting and supporting people,,cranbourne east,3977,mayfield,29-38,Male
"Good public transport
Good hospitals
Good schools
Good roads",Duplicate Cranbourne line and extend to Tooradin,Modern,plentiful,warm,Protecting our environment and improving transport,,hampton park,3976,river gum,59-68,Male
"More bike tracks for people so they don't have to ride on the road. No shoulder on barre warren road for people to ride on. The bike paths need to go somewhere, connect facilities. Bus service and facilities in Cranbourne are really good particularly sporting facilities. ",Happy with the way it is. More police and bring back police in schools that talk to the kids get to know the kids build the rapour. The community used to know the police officers names. ,Safe,forward-thinking,green,Connecting and supporting people,,cranbourne north,,mayfield,59-68,Female
"There are not enough police in the community, police need to match population growth",,,,,,,unknown,,unknown,,
Crime free- birthday party and people who weren't invited came and insulted people. Police didn't follow it through enough. Not enough action being taken,,,,,,,unknown,,unknown,,
A place where my children shouldn't be afraid to walk freely and feel safe. ,"Adding a few more fast food places, I need my daily dose of KFC. ",Safe,Friendly,Beautiful,Protecting our environment and improving transport,,narre warren south,3804,springfield,0-18,Male
"See a lot of outdoor activities, gymnasiums. Active infrastructure. Park gymnasiums. Free wifi. ",We need more aquatic centres. We only have one.,Excellent,transport,family-oriented,Connecting and supporting people,,clyde,3978,balla balla,29-38,Male
"More shelter at parks and bus, enclosed shelter. I love the parks, great place for kids to run around.","Nothing does, the location is good. Nothing bad. I love casey fields, good for the kids to run around.",Active,clean,healthy,Connecting and supporting people,,cranbourne west,3977,mayfield,29-38,Female
I'd like it to be a safer place for kids to go out without having to worry about getting bashed.,The amount of houses in every area and have more parks and places that aren't having houses built on them,Safe,clean,fun,Protecting our environment and improving transport,,narre warren south,3804,springfield,0-18,Male
Safe,Better distribution of funding infrastructure. All money going to new area not established areas,Safe,Trendy,Clean,Creating a sense of place,,berwick,3806,edrington,39-48,Male
"More shopping centres, having cinemas , Hallam Berwick need more large shopping centres. No bus from Hallam to casey fields. More buses in outer areas. ","Not safe, feel unsafe everywhere particularly at night, lots of car break-ins. More police patrol, neighbourhood watch.",Safe,bigger,multicultural,Connecting and supporting people,,hampton park,3976,river gum,0-18,Male
"Sporting precinct is very good, anything to do with sport but managing the population",Law and order - lack of discipline in the younger lads. Sport is very good way to work with the youth. ,Bright,carefree,safe,Attracting local business and jobs,,mt martha ,,visitor,59-68,
"Better roads, more employment for young ppl and more ser ices for disabled ppl ",Road before estates ,,growth,less-crime,Attracting local business and jobs,,cranbourne ,3977,balla balla,49-58,Female
"Up to date Infrastructure 
More roads",At casey fields local teams having access to play on oval 1 ,Family-oriented,events,sports-facilites,Attracting local business and jobs,,cranbourne ,3977,balla balla,68+,Male
Better infrastructure ,Improved roads ,Better-rail,,,Attracting local business and jobs,,hampton park,3976,river gum,59-68,Male
All inclusive and culturally diverse,Public transport out to cram east - train included ,"Accessible
",safe,prosperous,Connecting and supporting people,,cranbourne north,,mayfield,68+,Male
"Not over populated 
Keep up with infrastructure in relation to population growth ",South Gippsland Hwy - improvements ,Liveable,safe,enjoyable,Protecting our environment and improving transport,,cranbourne ,3977,balla balla,59-68,Male
Roads improved. The sporting facilities are good. Public transport having more trains more frequently. ,Spend a bit of money improving the Cranbourne botanic garden - expanding it.,Vibrant,friendly,community,Attracting local business and jobs,,narre warren south,3804,springfield,49-58,Male
"A safe place to raise a family with swimming pools, sports grounds and libraries. Access to public transport and bicycle tracks",Better resources for all of the city not just Narre Warren,Diverse,safe,community,Connecting and supporting people,,cranbourne ,3977,balla balla,59-68,Female
"A friendly, welcoming and equal place.",The crime rate.,Friendly,Equal,Sustainable,Creating a sense of place,,,3977,balla balla,19-28,Female
"A happy friendly environment with lots of parks, walking tracks and recreation parks. Great and well maintained roads are also a plus. Major roads need to be more then a single lane as it is getting to congested in some of the more build up areas.",Maintain the roads better,Green,Friendly,liveable,Protecting our environment and improving transport,,narre warren,3805,springfield,39-48,Male
To be known as a city of parks and recreation.,Rid it of the early morning loud motor bikes.  Saturdays and Sundays are inundated by loud motor bikes making life horrible.,Parks.,Recreation.,Education.,Creating a sense of place,,berwick,3806,edrington,68+,Female
Safe with upgrades roads and great sporting facilities. ,Traffic.  Western port hwy needs fly overs ,education.,Sport.,Safe.,Attracting local business and jobs,,cranbourne west,3977,mayfield,39-48,Male
Safe with better roads and great sports facilities ,Western port hwy fly overs ,education.,Sport.,Safe.,Protecting our environment and improving transport,,cranbourne west,3977,mayfield,39-48,Male
"A safe, community focused area where my children would HAPPILY bring their children into the world without worry. ",The ridiculous current crime rate. ,Safe,community,fun,Creating a sense of place,,cranbourne west,3977,mayfield,19-28,Female
Family friendly plave where people not afraid to walk the streets at night ,How many police are on duty around cranbourne.,Safe,friendly,family-oriented,Protecting our environment and improving transport,,cranbourne east,3977,mayfield,19-28,Male
"Somewhere cheaper with less politicians, less council spending.",Gather everyone around and stop paying rate increases.,Cheap,governmentless,safe,Attracting local business and jobs,,tooradin,3980,balla balla ,29-38,Male
"Better roads in warneet, better quality currently dirt roads. Love it down there, I Morgantown to maintain walking paths",Less rates,Environment,walks,bush,Protecting our environment and improving transport,,warneet,3980,balla balla ,59-68,Female
Not overly develop stay as a fringe area.,"Road infrastructure, build roads before new estates and housing.",Fringe,infrastructure,family,Protecting our environment and improving transport,,cranbourne ,3977,balla balla,39-48,Female
"Good how it is, they concentrate a lot on inner areas, but Cranbourne is always last. Clean up Cranbourne, remove rubbish on the roadside. ",Traffic- widen the roads. They build new estates but not the roads,Clean,white,safe,,More police monitoring behaviour,cranbourne north,,mayfield,49-58,Male
More local and community events. More facilities to enjoy outdoor activities such as public toilets in parks. ,More well known shops in torradin.,Beautiful,friendly,busy,Connecting and supporting people,,tyabb,,visitor,19-28,Male
Safety. For pensioner to have discounted rates.  ,Road safety. Safety for people living at home. Safety for kids going to school. ,Safe,help-homeless,,Connecting and supporting people,,cranbourne west,3977,mayfield,49-58,Female
"Free parking lot everywhere, public transport cheaper, more local markets, more volunteer work. I really like Cranbourne ",Free water everywhere. Biodegradable hemp bottles instead of plastic bottles. ,Local,sustainable,local-business,Protecting our environment and improving transport,,cranbourne ,3977,balla balla,19-28,Female
"Free, bit easier and free.",Roads,Free,easy,roads,Protecting our environment and improving transport,,officer,3809,visitor,59-68,Male
"More developed, needs more community services.","Increased policing, generally throughout the area.",Community,safety,local,Connecting and supporting people,,cranbourne east,3977,mayfield,49-58,Female
"More parks, active parks, get railway line extended to Clyde and Carey fields",Improve the roads - repair and widen,Family-oriented,,,Creating a sense of place,,cranbourne east,3977,mayfield,39-48,Male
"Road structure improved, more jobs and local services",Road infrastructure needs to meet demand. Meet new development need levels.,Infrastructure,local,safe,Attracting local business and jobs,,cranbourne north,,mayfield,29-38,Male
Safe community- houses are getting broken into. I want to feel that my kids can walk around the neighbourhood. Could be helped by more opportunities for the people committing crimes. roads better. Casey  is beautiful.,Currently over populated- children should be able to have a back yard. Looks a nicer place if people aren't living on top of each other. ,Safe,community,,Connecting and supporting people,,cranbourne north,,mayfield,29-38,Female
Multicultural and excepting ,"Transport infrastructure, improved road and public transport options.",Multicultural,tolerant,intelligent,Connecting and supporting people,,baw baw,,visitor,59-68,Male
Permits are too expensive- councillors should only be allowed to two terms as a councillors. Reduce rates - don't need to spend as much on unnecessary gutters on roads,More cops on the roads for traffic - monitoring speed,Transparent,,,Attracting local business and jobs,,cranbourne ,3977,balla balla,68+,Male
"Improve the roads, the two main exits out of Cranbourne thompsons and halls road. Made them both wider. Casey is pretty good, good facilities. ",Caring for the pensioners. Provide home are services with a nurse on call. The police registrar is good. ,Clean,friendly,shopping,Connecting and supporting people,,cranbourne ,3977,balla balla,68+,Male
Community shelter for homeless. More work to help homeless find shelter. Public hospitals in casey to keep up with growth. Thompsons road needs to be worth widened. Access to natural gas in remote areas such as blind bight and cannons creek. ,Add a public hospital to meet the needs of the growth community ,Shelter,embrace-homeless,,Connecting and supporting people,,blind bight,3980,balla balla,39-48,Female
"Better roads- less red arrows turning right. More curtesy on the roads, more tress and green spaces.",More local manufacturing jobs- make local clothing,Family-oriented,accessible,community,Protecting our environment and improving transport,,dandenong ,,visitor,49-58,Male
"Less crime- more police acting, particularly quicker response times. They are currently not doing enough. ",,,,,,,unknown,,unknown,,
Marina. More focus around water. To enjoy family activities around water. Family is very important. Maintain tooradin more. , Maintain area. Making it cleaner and attractive to tourism. ,infrastructure,tourism,parking,Creating a sense of place,,koo wee rup,,visitor,39-48,Male
"Inclusive in all aspects. Multicultural , lgbtqi","Need a quirky side to us, more art and diverse culture",Inclusive,culture,emotional-intelligence,Attracting local business and jobs,,Tarniet,,visitor,49-58,Female
"Road improvements, need to control development and build roads before housing.","Change the roads and hopspital services, the hospitals are making people wait and increasing wait.",Controlled,larger-land,people-focused,Attracting local business and jobs,,cranbourne ,3977,balla balla,49-58,Male
"We are getting improvements already. Particularly interested in what is happening with the trains, good to be removing crossings. It's logical to have skyrail. Great to get the railway land back. Stop planting trees next power poles- because this makes it harder to connect networks",Roads need reining and redoing. Resurfacing. Need to clean roads stop blocked drain ways. Freeways need to be swept,Clean,,,Protecting our environment and improving transport,,frankston ,,visitor,68+,Male
Still a fringe area that holds and preserves its heritage.,Control the urban expansion and housing quality.,Heritage,commuter-friendly,connected,Protecting our environment and improving transport,,blind bight,3980,balla balla,68+,Male
Councillors that come around and talk to people and tell residents what they have been doing - let us know what the rates will be spent. Keep communication going. Get neighbourhood watch going again. ,Stop people parking on corners.more communication between council and community. ,Happy,,,Attracting local business and jobs,,hallam,3803,river gum,59-68,Female
"More parks, good bus service especially on weekends",,,,,,,unknown,,unknown,,
"Improve cost of living, improve infrastructure - travel,. The roads should be divided to avoid head on collisions. ",Roads- seperate lanes,Safe,accessible,,Connecting and supporting people,,tullamarine,,visitor,49-58,Male
An entertaining place to live that sits on the fringe with high level of public infrastructure ,"Reduces crime in areas, increasing policing and more prosecution.",Entertaning,connected,community,Attracting local business and jobs,,cranbourne west,3977,mayfield,39-48,Male
"Less growth, dont build match box housing. Enhance the natural environment, nature parks protect wildlife. ","Looking after our animals, have a vegetation plan to attract animals back. Good for the kids futures ",Heaven,beautiful,sustainable,Protecting our environment and improving transport,,loch ,,visitor,29-38,Male
"Same as it is now, reduced developent and pressure faced. Protect fram land and farming practice.",Stop and reduce over development.,Farming,local,protected,Protecting our environment and improving transport,,cranbourne ,3977,balla balla,49-58,Male
My family n I wants Casey to be able to provide hospital to its residents that we don't rely to Frankston hospital's efficiency...our current one is so bad on service n  treatment...,"Be in tune with time it's progress...roads wider more a schools in all levels more jobs n bigger shops n a movie house.  It has to make the city ever more safer...if u have to put cameras on residential areas u should cause the cause fear havoc n noise when they are around...
Casey should be more transparent to the public in regards to their programs n projects...
Casey public halls n utilities should be affordable to rent...",pride,home,,Creating a sense of place,,cranbourne ,3977,balla balla,39-48,Female
Improving kinders- hard to access you can't into kinders if you move into an area. You need to be in the area 12 months prior to guarantee a spot.  we need to have road infrastructure to match the population. Why is the road not dual road the whole way.,Roads widen the roads,Accountable,proactive,forward-thinking,Connecting and supporting people,,narre warren north,3804,four oaks,39-48,Male
Councill officers need to be proactive and forward thinking,,,,,,,unknown,,unknown,,
A place you are safe N be proud of..a place where u don't have to travel far for fun N leisure... for health services. ..for education...for parks...for shopping ...for special activities,I want to have a hospital in cranbourne since Cranbourne is vastly growing by months,place-to-be,,,Attracting local business and jobs,,cranbourne ,3977,balla balla,49-58,Male
"Community friendly and increasing community connectivity. Improved youth facilities and service such as transport, health and education .","Access to services, improve them. Increase speed, reduce cost and make more widely avilable.",Community,connected,healthy,Connecting and supporting people,,red hill,,visitor,39-48,Female
Family focused area that's more developed around shopping centers.,Improve public transport options and increased serviced. While improving safety while using pt,Family,connected,social,Creating a sense of place,,cranbourne ,3977,balla balla,0-18,Male
Making it safer- feel unsafe out with friends when you don't have easy transport. ,Easy transport - it takes a long time to get places. There are no direct transport routes to schools and facilities,Clean,well-connected,community,Connecting and supporting people,,cranbourne ,3977,balla balla,0-18,Female
Family friendly and safe. Reduce level of crime drug dependency. Offering more services to help drug effected community ,"Traffics, improved road infrastructure and capacity.",Safe,family,accessible,Attracting local business and jobs,,maryknoll,,visitor,39-48,Male
More land protected natural land. Cap troll developed supporting family and history of farming.,Protect the heritage from overdevelopment. Use our names less American names.,Heritage,community,connectivity,Connecting and supporting people,,frankston ,,visitor,49-58,Female
"A place people can raise their kids to be educate, healthy and happy. Important to have facilities for people in casey who want to visit the bay for a day trip. 

Day trippers visit the foreshore from the estates, the old primary school site in tooradin is a prime recreation opportunity. People need space to enjoy a bit of fresh air and fish. Like to see council put in tables and chairs in the old school site. 

There needs to be more communication between council and community, particularly around where to build new recreations areas. 

Facilities for day trippers in tooradin are great. Council are doing a good job with existing infrastructure, but need to clean up area behind tooradin shops. Issue with shop keepers and their waste bins. Having the right waste removal systems for different services for example food outlets using wheels bins instead of front lift bins. 

Along the foreshore there are no recycling opportunities - should have it now.",Utilise the school site in tooradin for recreation. ,Educate,healthy,happy,Connecting and supporting people,,tooradin,3980,balla balla ,59-68,Male
Good structured society and access to community facilities ,Safety. More safety support and help with police ,Beautiful.,Family-oriented.,Kids-space,Protecting our environment and improving transport,,tooradin,3980,balla balla ,19-28,Male
"Needs better and more controlled housing stock.  More space for backyards.

The council is doing a good job connecting with.ocal groups such as the lions clubs. There could options for the council to provide small scale funding support to lions club projects",Making bigger house lots with back yards,Liveable,structured,people,Creating a sense of place,,noble park,,visitor,68+,Male
A place where Planning decisions are made based on fact and not demand and opinion.,"Ristriced land for first home buyers which is driving prices up. Ristricting block subdivision is increasing the price for first home buyers. So inconcistent framework between subdivision and land banking. Issues with rates and equality after rezoning. Forcing farmers out, also putting barriers to first home buyers.",Vibrant,affordable,enthusiasm,Attracting local business and jobs,,devon meadows ,3977,balla balla,49-58,Male
"Nice parks, good public transport- trains running more frequently. 

People aren't feeling safer in their houses. Council could be advocating for more funding for police, roads and rail. ",Make sure cases retains open space and doesn't build houses over everything ,Green,connected,safe,Protecting our environment and improving transport,,pakenham south,,visitor,59-68,Male
A safer and protective place with more public transport facilities. ,Cut down on rates for the landlords. ,Family-oriented,organised,planning,Connecting and supporting people,,clyde north,,edrington,29-38,Female
"Safe place to live no matter what age. Vibrant city with lots of shopping precincts, recreational and open spaces and  the landscape to be tidy and maintained .",Ensuring all residents feel safe,Vibrant,friendly,liveable,Connecting and supporting people,,berwick,3806,edrington,49-58,Female
A strong vibrant city of choice for people to live & work,Bigger building blocks & wider streets. More dog friendly parks. They should be mandatory in every new estate.,Home,jobs,growth,Creating a sense of place,,berwick,3806,edrington,49-58,Male
A safe place with a buzzing business centre so people don't have to travel into the city,More infrastructure around public transport (train to Clyde) and telecommunications - NBN,Safe,buzzing,trendy,Attracting local business and jobs,,clyde north,,edrington,19-28,Female
more rugby fields,no more bushes,Fun,Sport,Fantastic,,,cranbourne ,3977,balla balla,19-28,Female
the new melbourne business,upgrade major arterials better traffic stream i.e. Thompsons Rd,Developing,growth,Central,,,unknown,,unknown,19-28,Male
"developed transport better roads, safer",better roads,Multicultural,Forward-thinking,community,,,narre warren,3805,springfield,29-38,Female
triving independent business economy,public transport & ease of access with better freeway,Growth,Innovation,Family-oriented,,,canterbury,,visitor,49-58,Male
"A vibrant arts precinct connecting community through diverse arts genres that representat all who live,work study here",better traffic flow especially around peak hour and school pick up & drop off times,Safe,Community,Opportunity,,,hampton park,3976,river gum,59-68,Female
diverse Community,jobs close to home,Jobs ,Jobs,Jobs,,,narre warren,3805,springfield,29-38,Male
a mature community with sence of self,goverance,Optemistic,governance,,,,officer,3809,visitor,68+,Male
family friendly & a thriving business & cutural hub,more large parklands - BBQ - picnic areas,Vibrant,Friendly,Attractive,,,narre warren,3805,springfield,,Male
a safer place,abide the law traffic rules,beautiful,Opportunity,,,,cranbourne north,,mayfield,19-28,
